ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
2715,S1m0ne,2002,6.1,"Comedia, Drama, Ciencia Ficción",55618,Andrew Niccol,117,9.68
2716,Dilwale Dulhania Le Jayenge,1995,8.2,"Comedia, Drama, Musical",55609,Aditya Chopra,189,NA
2717,Dark Water,2005,5.6,"Drama, Horror, Suspenso",55594,Walter Salles,105,25.47
2718,The Devil's Backbone,2001,7.5,"Drama, Horror",55577,Guillermo del Toro,106,0.75
2719,Silent Hill: Revelation,2012,5,Horror,55568,M.J. Bassett,95,17.53
2720,Kal Ho Naa Ho,2003,8,"Comedia, Drama, Romántica",55557,Nikkhil Advani,186,1.79
2721,The Ten Commandments,1956,7.9,"Aventura, Drama",55536,Cecil B. DeMille,220,93.74
2722,Titan A.E.,2000,6.6,"Animación, Acción, Aventura",55521,Don Bluth,94,22.75
2723,Mr. Peabody & Sherman,2014,6.8,"Animación, Aventura, Comedia",55520,Rob Minkoff,92,111.51
2724,Punisher: War Zone,2008,6,"Acción, Aventura, Crimen",55486,Lexi Alexander,103,7.95
2725,Four Christmases,2008,5.7,"Comedia, Drama, Romántica",55448,Seth Gordon,88,120.15
2726,The Haunting in Connecticut,2009,5.9,"Drama, Horror, Misterio",55377,Peter Cornwell,92,55.39
2727,Ella Enchanted,2004,6.3,"Comedia, Familiar, Fantasía",55368,Tommy O'Haver,96,22.92
2728,Breaking the Waves,1996,7.9,Drama,55307,Lars von Trier,159,4.04
2729,Den of Thieves,2018,7,"Acción, Crimen, Drama",55271,Christian Gudegast,140,44.95
2730,Wings of Desire,1987,8.1,"Drama, Fantasía, Romántica",55203,Wim Wenders,128,3.21
2731,Anomalisa,2015,7.3,"Animación, Comedia, Drama",55179,Duke Johnson,90,3.76
2732,Indecent Proposal,1993,5.9,"Drama, Romántica",55166,Adrian Lyne,117,106.61
2733,Everybody's Fine,2009,7.1,"Aventura, Drama",55067,Kirk Jones,99,8.86
2734,Breach,2007,7,"Biografía, Crimen, Drama",55044,Billy Ray,110,33.23
2735,The Fog,1980,6.8,"Horror, Suspenso",54989,John Carpenter,89,21.38
2736,Eight Below,2006,7.3,"Aventura, Drama, Familiar",54952,Frank Marshall,120,81.61
2737,Heavenly Creatures,1994,7.4,"Biografía, Crimen, Drama",54951,Peter Jackson,99,3.05
2738,Basic,2003,6.5,"Acción, Crimen, Drama",54905,John McTiernan,98,26.54
2739,Spirit: Stallion of the Cimarron,2002,7.1,"Animación, Aventura, Familiar",54865,Kelly Asbury,83,73.28
2740,James and the Giant Peach,1996,6.7,"Animación, Aventura, Familiar",54825,Henry Selick,79,28.93
2741,The Witches of Eastwick,1987,6.5,"Comedia, Fantasía, Horror",54808,George Miller,118,63.77
2742,Tag,2018,6.6,Comedia,54802,Jeff Tomsic,100,54.55
2743,Major League,1989,7.2,"Comedia, Deportes",54780,David S. Ward,107,49.8
2744,Gerald's Game,2017,6.6,"Drama, Horror, Suspenso",54746,Mike Flanagan,103,NA
2745,The Night Before,2015,6.4,"Aventura, Comedia, Fantasía",54679,Jonathan Levine,101,43.04
2746,Appaloosa,2008,6.7,"Crimen, Drama, Romántica",54673,Ed Harris,115,20.21
2747,Enough Said,2013,7,"Comedia, Drama, Romántica",54624,Nicole Holofcener,93,17.54
2748,The Stepford Wives,2004,5.3,"Comedia, Horror, Ciencia Ficción",54609,Frank Oz,93,59.48
2749,Like Crazy,2011,6.7,"Drama, Romántica",54565,Drake Doremus,86,3.41
2750,The Family Stone,2005,6.3,"Comedia, Drama, Romántica",54555,Thomas Bezucha,103,60.06
2751,The Remains of the Day,1993,7.9,"Drama, Romántica",54531,James Ivory,134,22.95
2752,Never Say Never Again,1983,6.2,"Acción, Aventura, Suspenso",54508,Irvin Kershner,134,55.5
2753,The Net,1995,5.9,"Acción, Crimen, Drama",54474,Irwin Winkler,114,50.73
2754,The Brave One,2007,6.8,"Crimen, Drama, Suspenso",54438,Neil Jordan,122,36.79
2755,Drillbit Taylor,2008,5.7,"Comedia, Drama",54426,Steven Brill,110,32.85
2756,Les Diaboliques,1955,8.1,"Crimen, Drama, Horror",54408,Henri-Georges Clouzot,117,NA
2757,Blast from the Past,1999,6.6,"Comedia, Drama, Romántica",54406,Hugh Wilson,112,26.49
2758,Trouble with the Curve,2012,6.8,"Drama, Deportes",54396,Robert Lorenz,111,35.76
2759,Sympathy for Mr. Vengeance,2002,7.7,"Acción, Drama, Suspenso",54334,Chan-wook Park,121,0.05
2760,K-19: The Widowmaker,2002,6.7,"Drama, Histórico, Suspenso",54333,Kathryn Bigelow,138,35.17
2761,Sabotage,2014,5.7,"Acción, Crimen, Drama",54330,David Ayer,109,10.51
2762,Everything Is Illuminated,2005,7.5,"Comedia, Drama",54193,Liev Schreiber,106,1.71
2763,The Lookout,2007,7,"Crimen, Drama, Suspenso",54177,Scott Frank,99,4.6
2764,To Catch a Thief,1955,7.5,"Misterio, Romántica, Suspenso",54135,Alfred Hitchcock,106,8.75
2765,Red Lights,2012,6.2,"Drama, Fantasía, Horror",54132,Rodrigo Cortés,114,0.05
2766,The Darkest Hour,2011,4.9,"Acción, Aventura, Horror",54126,Chris Gorak,89,21.43
2767,"Legally Blonde 2: Red, White & Blonde",2003,4.7,Comedia,54112,Charles Herman-Wurmfeld,95,90.19
2768,Mindhunters,2004,6.4,"Crimen, Horror, Misterio",54111,Renny Harlin,106,4.48
2769,Vertical Limit,2000,5.9,"Acción, Aventura, Drama",54106,Martin Campbell,124,69.24
2770,Fetih 1453,2012,7.1,"Acción, Drama, Histórico",54064,Faruk Aksoy,162,0.07
2771,The Midnight Meat Train,2008,6.1,"Horror, Misterio, Suspenso",54029,Ryûhei Kitamura,98,0.08
2772,Pan,2015,5.8,"Aventura, Familiar, Fantasía",53950,Joe Wright,111,35.09
2773,Funny Games,1997,7.6,"Crimen, Drama, Horror",53922,Michael Haneke,108,NA
2774,Date Movie,2006,2.8,"Comedia, Romántica",53799,Aaron Seltzer,83,48.55
2775,Going the Distance,2010,6.3,"Comedia, Romántica",53780,Nanette Burstein,102,17.8
2776,Stepmom,1998,6.7,"Comedia, Drama",53760,Chris Columbus,125,91.14
2777,The Finest Hours,2016,6.8,"Acción, Drama, Histórico",53725,Craig Gillespie,117,27.55
2778,Urban Legend,1998,5.5,"Horror, Misterio",53695,Jamie Blanks,99,38.07
2779,Fish Tank,2009,7.3,Drama,53668,Andrea Arnold,123,0.37
2780,Far and Away,1992,6.6,"Aventura, Drama, Romántica",53613,Ron Howard,140,58.88
2781,The Death and Life of Charlie St. Cloud,2010,6.5,"Drama, Fantasía, Romántica",53578,Burr Steers,99,31.16
2782,Coffee and Cigarettes,2003,7.1,"Comedia, Drama, Música",53577,Jim Jarmusch,95,1.97
2783,What a Girl Wants,2003,5.9,"Comedia, Drama, Familiar",53503,Dennie Gordon,105,35.99
2784,Fanboys,2009,6.6,"Aventura, Comedia, Drama",53488,Kyle Newman,90,0.69
2785,The Rainmaker,1997,7.1,"Crimen, Drama, Suspenso",53469,Francis Ford Coppola,135,45.86
2786,Bullitt,1968,7.5,"Acción, Crimen, Misterio",53403,Peter Yates,114,42.3
2787,Half Baked,1998,6.7,"Comedia, Crimen",53340,Tamra Davis,82,17.28
2788,Skyscraper,2018,5.9,"Acción, Suspenso",53287,Rawson Marshall Thurber,102,67.8
2789,Three Colours: White,1994,7.7,"Comedia, Drama, Romántica",53268,Krzysztof Kieslowski,92,1.46
2790,The Crimson Rivers,2000,6.9,"Crimen, Misterio, Suspenso",53219,Mathieu Kassovitz,106,0.63
2791,Something Borrowed,2011,5.9,"Comedia, Drama, Romántica",53130,Luke Greenfield,112,39.05
2792,The Replacements,2000,6.5,"Comedia, Deportes",53128,Howard Deutch,118,44.74
2793,Legend,1985,6.5,"Aventura, Fantasía, Romántica",53124,Ridley Scott,94,15.5
2794,Firewall,2006,5.8,"Crimen, Suspenso",53106,Richard Loncraine,105,48.75
2795,The Client,1994,6.7,"Crimen, Drama, Misterio",52958,Joel Schumacher,119,92.12
2796,Darkman,1990,6.4,"Acción, Crimen, Ciencia Ficción",52947,Sam Raimi,96,33.88
2797,Save the Last Dance,2001,6.2,"Drama, Música, Romántica",52943,Thomas Carter,112,91.06
2798,Ajeossi,2010,7.8,"Acción, Drama, Suspenso",52925,Jeong-beom Lee,119,0.01
2799,I'm Not There,2007,7,"Biografía, Drama, Música",52922,Todd Haynes,135,4.02
2800,Friday Night Lights,2004,7.3,"Acción, Drama, Deportes",52903,Peter Berg,118,61.19
2801,Jeepers Creepers II,2003,5.6,Horror,52899,Victor Salva,104,35.67
2802,Becoming Jane,2007,7.1,"Biografía, Drama, Romántica",52886,Julian Jarrold,120,18.67
2803,Queen,2013,8.3,"Comedia, Drama",52825,Vikas Bahl,146,1.43
2804,The Omen,2006,5.5,Horror,52759,John Moore,110,54.61
2805,The Nanny Diaries,2007,6.2,"Comedia, Drama, Romántica",52690,Shari Springer Berman,106,25.93
2806,Top Secret!,1984,7.2,"Comedia, Música",52683,Jim Abrahams,90,20.5
2807,Fainaru fantajî sebun adobento chirudoren,2005,7.3,"Animación, Acción, Aventura",52647,Tetsuya Nomura,101,NA
2808,The Possession,2012,5.9,"Horror, Suspenso",52604,Ole Bornedal,92,49.13
2809,Grudge Match,2013,6.4,"Comedia, Drama, Deportes",52579,Peter Segal,113,29.81
2810,Bernie,2011,6.8,"Biografía, Comedia, Crimen",52568,Richard Linklater,99,9.2
2811,The Dead Zone,1983,7.2,"Horror, Ciencia Ficción, Suspenso",52559,David Cronenberg,103,20.77
2812,Spy Kids 2: Island of Lost Dreams,2002,5.1,"Acción, Aventura, Comedia",52554,Robert Rodriguez,100,85.85
2813,Drinking Buddies,2013,6.1,"Comedia, Drama, Romántica",52508,Joe Swanberg,90,0.34
2814,Anatomy of a Murder,1959,8.1,"Crimen, Drama, Misterio",52500,Otto Preminger,160,11.9
2815,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,5.4,Horror,52471,Jack Sholder,87,30
2816,Eskiya,1996,8.3,"Crimen, Drama, Suspenso",52466,Yavuz Turgul,128,NA
2817,Traitor,2008,7,"Acción, Crimen, Drama",52443,Jeffrey Nachmanoff,114,23.53
2818,The Art of Getting By,2011,6.6,"Drama, Romántica",52426,Gavin Wiesen,83,1.43
2819,Dick Tracy,1990,6.1,"Acción, Comedia, Crimen",52397,Warren Beatty,105,103.74
2820,BASEketball,1998,6.6,"Comedia, Deportes",52391,David Zucker,103,6.94
2821,Shadow of a Doubt,1943,7.9,Suspenso,52382,Alfred Hitchcock,108,NA
2822,The Great Debaters,2007,7.6,"Biografía, Drama, Romántica",52376,Denzel Washington,126,30.23
2823,The Animal,2001,4.8,"Comedia, Ciencia Ficción",52332,Luke Greenfield,84,57.74
2824,We Are Marshall,2006,7.1,"Drama, Deportes",52331,McG,131,43.55
2825,The Young Victoria,2009,7.3,"Biografía, Drama, Histórico",52330,Jean-Marc Vallée,105,11
2826,Bhaag Milkha Bhaag,2013,8.2,"Biografía, Drama, Deportes",52302,Rakeysh Omprakash Mehra,186,1.63
2827,A Night at the Roxbury,1998,6.2,"Comedia, Música, Romántica",52293,John Fortenberry,82,30.32
2828,Proof of Life,2000,6.2,"Acción, Drama, Suspenso",52241,Taylor Hackford,135,32.6
2829,All Quiet on the Western Front,1930,8.1,"Drama, Guerra",52219,Lewis Milestone,136,3.27
2830,Step Up 3D,2010,6.2,"Drama, Música, Romántica",52165,Jon M. Chu,107,42.4
2831,American Assassin,2017,6.2,"Acción, Suspenso",52142,Michael Cuesta,112,36.25
2832,Excalibur,1981,7.4,"Aventura, Drama, Fantasía",52124,John Boorman,140,34.97
2833,Shot Caller,2017,7.3,"Crimen, Drama, Suspenso",52115,Ric Roman Waugh,121,NA
2834,The Devil's Own,1997,6.1,"Acción, Crimen, Drama",52080,Alan J. Pakula,111,42.87
2835,Bangkok Dangerous,2008,5.4,"Acción, Crimen, Suspenso",52018,Danny Pang,99,15.28
2836,Office Christmas Party,2016,5.8,Comedia,51986,Josh Gordon,105,54.73
2837,Takers,2010,6.2,"Acción, Crimen, Suspenso",51973,John Luessenhop,107,57.74
2838,Time Bandits,1981,7,"Aventura, Comedia, Fantasía",51859,Terry Gilliam,116,42.37
2839,La Strada,1954,8.1,Drama,51811,Federico Fellini,108,NA
2840,Ladder 49,2004,6.5,"Acción, Drama, Suspenso",51766,Jay Russell,115,74.54
2841,All the Money in the World,2017,6.8,"Biografía, Crimen, Drama",51764,Ridley Scott,132,25.11
2842,Cars 3,2017,6.8,"Animación, Aventura, Comedia",51739,Brian Fee,102,152.9
2843,Point Break,2015,5.3,"Acción, Crimen, Deportes",51699,Ericson Core,114,28.78
2844,Jigsaw,2017,5.8,"Horror, Misterio, Suspenso",51617,Michael Spierig,92,38.05
2845,Cats & Dogs,2001,5.1,"Acción, Comedia, Familiar",51613,Lawrence Guterman,87,93.39
2846,Red Planet,2000,5.7,"Acción, Ciencia Ficción, Suspenso",51563,Antony Hoffman,106,17.48
2847,V/H/S,2012,5.8,"Horror, Suspenso",51529,Matt Bettinelli-Olpin,116,0.1
2848,Out of Time,2003,6.5,"Crimen, Drama, Misterio",51526,Carl Franklin,105,40.91
2849,The Best Years of Our Lives,1946,8.1,"Drama, Romántica, Guerra",51482,William Wyler,170,23.65
2850,R.V.: Runaway Vacation,2006,5.5,"Aventura, Comedia, Familiar",51457,Barry Sonnenfeld,99,71.73
2851,The Game Plan,2007,6.2,"Comedia, Familiar, Deportes",51447,Andy Fickman,110,90.65
2852,Elle,2016,7.2,"Crimen, Drama, Suspenso",51445,Paul Verhoeven,130,NA
2853,Road House,1989,6.5,"Acción, Suspenso",51422,Rowdy Herrington,114,30.05
2854,Jack,1996,5.8,"Comedia, Drama, Fantasía",51419,Francis Ford Coppola,113,58.62
2855,Sabrina,1954,7.7,"Comedia, Drama, Romántica",51414,Billy Wilder,113,NA
2856,Shallow Grave,1994,7.3,"Crimen, Suspenso",51409,Danny Boyle,89,2.88
2857,America's Sweethearts,2001,5.7,"Comedia, Romántica",51380,Joe Roth,102,93.61
2858,Fright Night,1985,7.1,"Horror, Suspenso",51375,Tom Holland,106,24.92
2859,In the Mouth of Madness,1994,7.2,"Fantasía, Horror, Misterio",51345,John Carpenter,95,8.95
2860,Rendition,2007,6.8,"Drama, Suspenso",51311,Gavin Hood,122,9.74
2861,Hoodwinked!,2005,6.5,"Animación, Comedia, Crimen",51244,Cory Edwards,80,51.39
2862,The Ghost and the Darkness,1996,6.8,"Aventura, Drama, Suspenso",51235,Stephen Hopkins,110,38.62
2863,Waltz with Bashir,2008,8,"Animación, Biografía, Drama",51234,Ari Folman,90,2.28
2864,In Good Company,2004,6.5,"Comedia, Drama, Romántica",51227,Paul Weitz,109,45.49
2865,Krampus,2015,6.2,"Acción, Comedia, Fantasía",51203,Michael Dougherty,98,42.59
2866,The Mighty Ducks,1992,6.5,"Comedia, Drama, Familiar",51182,Stephen Herek,100,50.75
2867,Win Win,2011,7.2,"Comedia, Drama, Deportes",51179,Tom McCarthy,106,10.18
2868,Duck Soup,1933,8,"Comedia, Musical, Guerra",51170,Leo McCarey,68,NA
2869,High School Musical 3: Senior Year,2008,4.7,"Comedia, Drama, Familiar",51011,Kenny Ortega,112,90.56
2870,Soylent Green,1973,7.1,"Crimen, Misterio, Ciencia Ficción",50970,Richard Fleischer,97,NA
2871,Duplex,2003,5.9,Comedia,50933,Danny DeVito,89,9.69
2872,The Collector,2009,6.4,"Horror, Suspenso",50927,Marcus Dunstan,90,7.71
2873,Marathon Man,1976,7.5,"Crimen, Suspenso",50870,John Schlesinger,125,21.71
2874,Cocoon,1985,6.7,"Comedia, Drama, Ciencia Ficción",50838,Ron Howard,117,76.11
2875,Zookeeper,2011,5.2,"Comedia, Familiar, Romántica",50822,Frank Coraci,102,80.36
2876,The Chorus,2004,7.9,"Drama, Música",50784,Christophe Barratier,97,3.64
2877,Straw Dogs,1971,7.5,"Crimen, Drama, Suspenso",50778,Sam Peckinpah,113,NA
2878,Calvary,2014,7.4,Drama,50762,John Michael McDonagh,102,3.59
2879,"4 luni, 3 saptamâni si 2 zile",2007,7.9,Drama,50743,Cristian Mungiu,113,1.19
2880,The Sweetest Thing,2002,5.1,"Comedia, Romántica",50686,Roger Kumble,88,24.72
2881,The Right Stuff,1983,7.9,"Aventura, Biografía, Drama",50678,Philip Kaufman,193,21.5
2882,Animal Kingdom,2010,7.3,"Crimen, Drama",50628,David Michôd,113,1.04
2883,Jonah Hex,2010,4.7,"Acción, Drama, Fantasía",50615,Jimmy Hayward,81,10.54
2884,Benny & Joon,1993,7.2,"Comedia, Drama, Romántica",50615,Jeremiah S. Chechik,98,23.2
2885,The Mountain Between Us,2017,6.4,"Acción, Aventura, Drama",50585,Hany Abu-Assad,112,30.35
2886,The Frozen Ground,2013,6.4,"Crimen, Drama, Misterio",50585,Scott Walker,105,NA
2887,Los cronocrímenes,2007,7.2,"Horror, Misterio, Ciencia Ficción",50548,Nacho Vigalondo,92,0.04
2888,Sanctum,2011,5.9,"Aventura, Drama, Suspenso",50547,Alister Grierson,108,23.07
2889,Apollo 18,2011,5.2,"Horror, Misterio, Ciencia Ficción",50465,Gonzalo López-Gallego,86,17.69
2890,Aloha,2015,5.4,"Comedia, Drama, Romántica",50429,Cameron Crowe,105,20.99
2891,Wristcutters: A Love Story,2006,7.3,"Comedia, Drama, Fantasía",50397,Goran Dukic,88,0.32
2892,The Rescuers,1977,6.9,"Animación, Aventura, Comedia",50368,John Lounsbery,78,71.22
2893,The Mission,1986,7.5,"Aventura, Drama, Histórico",50366,Roland Joffé,125,17.22
2894,Enes Batur Hayal mi Gerçek mi?,2018,6,Comedia,50364,Kamil Cetin,110,NA
2895,Fanny and Alexander,1982,8.1,Drama,50346,Ingmar Bergman,188,4.97
2896,You Were Never Really Here,2017,6.9,"Crimen, Drama, Misterio",50336,Lynne Ramsay,89,2.52
2897,Timecop,1994,5.8,"Acción, Crimen, Ciencia Ficción",50322,Peter Hyams,99,44.85
2898,Poltergeist,2015,4.9,"Horror, Suspenso",50302,Gil Kenan,93,47.43
2899,Best in Show,2000,7.5,Comedia,50285,Christopher Guest,90,18.62
2900,Valhalla Rising,2009,6,"Aventura, Drama, Fantasía",50281,Nicolas Winding Refn,93,0.02
2901,Step Up 4: Miami Heat,2012,6.5,"Drama, Música, Romántica",50274,Scott Speer,99,35.07
2902,LOL,2012,4.4,"Comedia, Drama, Romántica",50264,Lisa Azuelos,97,0.05
2903,Monster-in-Law,2005,5.5,"Comedia, Romántica",50221,Robert Luketic,101,82.93
2904,Bad Education,2004,7.5,"Crimen, Drama",50212,Pedro Almodóvar,106,5.21
2905,Paterson,2016,7.4,"Comedia, Drama, Romántica",50194,Jim Jarmusch,118,2.14
2906,Drishyam,2015,8.3,"Crimen, Drama, Suspenso",50166,Nishikant Kamat,163,0.74
2907,The Whole Ten Yards,2004,5.5,"Comedia, Crimen, Suspenso",50148,Howard Deutch,98,16.32
2908,The Peacemaker,1997,5.9,"Acción, Suspenso",50094,Mimi Leder,124,41.26
2909,Star Trek V: The Final Frontier,1989,5.4,"Acción, Aventura, Fantasía",50082,William Shatner,107,52.21
2910,Short Circuit,1986,6.6,"Comedia, Familiar, Ciencia Ficción",50039,John Badham,98,40.7
2911,Chungking Express,1994,8.1,"Crimen, Drama, Romántica",50017,Kar-Wai Wong,102,0.6
2912,Night Watch,2004,6.5,"Acción, Fantasía, Horror",49992,Timur Bekmambetov,114,1.49
2913,The Ice Storm,1997,7.5,Drama,49980,Ang Lee,112,7.84
2914,La leggenda del pianista sull'oceano,1998,8.1,"Drama, Música, Romántica",49978,Giuseppe Tornatore,165,0.26
2915,National Lampoon's European Vacation,1985,6.2,"Aventura, Comedia",49941,Amy Heckerling,95,49.4
2916,The Man Who Knew Too Much,1956,7.5,"Drama, Suspenso",49939,Alfred Hitchcock,120,10.25
2917,Dog Soldiers,2002,6.8,"Acción, Horror, Suspenso",49816,Neil Marshall,105,NA
2918,In the Loop,2009,7.5,Comedia,49787,Armando Iannucci,106,2.38
2919,Bringing Up Baby,1938,8,"Comedia, Familiar, Romántica",49782,Howard Hawks,102,NA
2920,Dennis the Menace,1993,5.5,"Comedia, Familiar",49770,Nick Castle,94,51.27
2921,The Legend of Bagger Vance,2000,6.7,"Drama, Fantasía, Deportes",49738,Robert Redford,126,30.7
2922,Underground,1995,8.1,"Comedia, Drama, Guerra",49733,Emir Kusturica,170,NA
2923,Kahaani,2012,8.2,"Misterio, Suspenso",49701,Sujoy Ghosh,122,1.04
2924,Autómata,2014,6.1,"Acción, Ciencia Ficción, Suspenso",49691,Gabe Ibáñez,109,NA
2925,Blood Father,2016,6.4,"Acción, Crimen, Drama",49677,Jean-François Richet,88,NA
2926,The Astronaut's Wife,1999,5.3,"Drama, Ciencia Ficción, Suspenso",49662,Rand Ravich,109,10.67
2927,My Bloody Valentine,2009,5.5,"Horror, Misterio, Suspenso",49659,Patrick Lussier,101,51.55
2928,Stand Up Guys,2012,6.5,"Comedia, Crimen, Suspenso",49657,Fisher Stevens,95,3.3
2929,Perfect Sense,2011,7.1,"Drama, Romántica, Ciencia Ficción",49655,David Mackenzie,92,0
2930,Thirteen Days,2000,7.3,"Drama, Histórico, Suspenso",49651,Roger Donaldson,145,34.59
2931,The Nun,2018,5.6,"Horror, Misterio, Suspenso",49650,Corin Hardy,96,117.15
2932,Just My Luck,2006,5.4,"Comedia, Fantasía, Romántica",49573,Donald Petrie,103,17.32
2933,Race to Witch Mountain,2009,5.7,"Acción, Aventura, Familiar",49565,Andy Fickman,98,67.17
2934,The Sisterhood of the Travelling Pants,2005,6.5,"Comedia, Drama, Romántica",49533,Ken Kwapis,119,39.01
2935,Magnum Force,1973,7.2,"Acción, Crimen, Misterio",49521,Ted Post,124,NA
2936,House on Haunted Hill,1999,5.6,"Horror, Misterio, Suspenso",49512,William Malone,93,40.85
2937,The Death of Stalin,2017,7.2,"Comedia, Drama, Histórico",49486,Armando Iannucci,107,8.04
2938,The Legend of Hercules,2014,4.2,"Acción, Aventura, Fantasía",49465,Renny Harlin,99,18.85
2939,Original Sin,2001,6,"Drama, Misterio, Romántica",49427,Michael Cristofer,116,16.25
2940,Cry-Baby,1990,6.5,"Comedia, Musical",49312,John Waters,85,8.27
2941,Rio Bravo,1959,8,"Acción, Drama, Oeste",49307,Howard Hawks,141,12.54
2942,The Boxtrolls,2014,6.8,"Animación, Aventura, Comedia",49298,Graham Annable,96,50.84
2943,Wicker Park,2004,7,"Drama, Misterio, Romántica",49246,Paul McGuigan,114,12.83
2944,Toki o kakeru shôjo,2006,7.8,"Animación, Aventura, Comedia",49226,Mamoru Hosoda,98,NA
2945,A Tale of Two Sisters,2003,7.2,"Drama, Horror, Misterio",49181,Jee-woon Kim,115,NA
2946,Friday the 13th Part 2,1981,6.1,"Horror, Misterio, Suspenso",49168,Steve Miner,87,21.72
2947,Srpski film,2010,5.1,"Horror, Misterio, Suspenso",49108,Srdjan Spasojevic,104,NA
2948,Criminal,2016,6.3,"Acción, Crimen, Drama",49102,Ariel Vromen,113,14.27
2949,Star Wars: The Clone Wars,2008,5.9,"Animación, Acción, Aventura",49082,Dave Filoni,98,35.16
2950,Ghajini,2008,7.3,"Acción, Drama, Misterio",49063,A.R. Murugadoss,183,2.43
2951,Away We Go,2009,7.1,"Comedia, Drama, Romántica",49051,Sam Mendes,98,9.45
2952,Last Man Standing,1996,6.4,"Acción, Crimen, Drama",49008,Walter Hill,101,17.6
2953,Lake Placid,1999,5.7,"Acción, Comedia, Horror",49007,Steve Miner,82,31.77
2954,Flight of the Phoenix,2004,6.1,"Acción, Aventura, Drama",48986,John Moore,113,21.01
2955,Blow-Up,1966,7.6,"Drama, Misterio, Suspenso",48948,Michelangelo Antonioni,111,NA
2956,Crocodile Dundee II,1988,5.5,"Acción, Aventura, Comedia",48931,John Cornell,108,109.31
2957,Stealth,2005,5,"Acción, Aventura, Ciencia Ficción",48890,Rob Cohen,121,32.12
2958,Keeping Up with the Joneses,2016,5.9,"Acción, Comedia",48878,Greg Mottola,105,14.9
2959,The Majestic,2001,6.9,"Drama, Romántica",48869,Frank Darabont,152,27.81
2960,Crimes and Misdemeanors,1989,8,"Comedia, Drama",48861,Woody Allen,104,18.25
2961,Harvey,1950,8,"Comedia, Drama, Fantasía",48844,Henry Koster,104,NA
2962,Sexy Beast,2000,7.3,"Crimen, Drama, Suspenso",48843,Jonathan Glazer,89,6.95
2963,Cheaper by the Dozen 2,2005,5.5,"Aventura, Comedia, Familiar",48842,Adam Shankman,94,82.57
2964,Session 9,2001,6.5,"Horror, Misterio",48822,Brad Anderson,100,0.38
2965,Rudy,1993,7.5,"Biografía, Drama, Deportes",48697,David Anspaugh,114,22.75
2966,How High,2001,6.3,"Comedia, Fantasía",48634,Jesse Dylan,93,31.16
2967,Queen of the Damned,2002,5.3,"Drama, Fantasía, Horror",48617,Michael Rymer,101,30.34
2968,Young Guns,1988,6.9,"Acción, Oeste",48594,Christopher Cain,107,45.66
2969,Casanova,2005,6.5,"Aventura, Comedia, Drama",48502,Lasse Hallström,112,11.29
2970,My Blueberry Nights,2007,6.7,"Drama, Romántica",48458,Kar-Wai Wong,95,0.87
2971,Murder by Numbers,2002,6.1,"Crimen, Misterio, Suspenso",48421,Barbet Schroeder,115,31.87
2972,Chaplin,1992,7.6,"Biografía, Comedia, Drama",48380,Richard Attenborough,143,9.49
2973,The Pledge,2001,6.8,"Crimen, Drama, Misterio",48367,Sean Penn,124,19.72
2974,Eight Legged Freaks,2002,5.4,"Acción, Comedia, Horror",48321,Ellory Elkayem,99,17.32
2975,Wet Hot American Summer,2001,6.7,"Comedia, Romántica",48305,David Wain,97,0.29
2976,Quills,2000,7.3,"Biografía, Drama",48294,Philip Kaufman,124,7.06
2977,The Dark Crystal,1982,7.2,"Aventura, Familiar, Fantasía",48267,Jim Henson,93,40.58
2978,Lords of Dogtown,2005,7.1,"Biografía, Drama, Deportes",48262,Catherine Hardwicke,107,11.01
2979,Gnomeo & Juliet,2011,6,"Animación, Aventura, Comedia",48245,Kelly Asbury,84,99.97
2980,Arthur,2011,5.7,"Comedia, Romántica",48239,Jason Winer,110,33.04
2981,All Good Things,2010,6.3,"Crimen, Drama, Misterio",48237,Andrew Jarecki,101,0.58
2982,Copycat,1995,6.6,"Drama, Misterio, Suspenso",48169,Jon Amiel,123,32.05
2983,Inland Empire,2006,7,"Drama, Misterio, Suspenso",48167,David Lynch,180,0.75
2984,Sneakers,1992,7.1,"Comedia, Crimen, Drama",48161,Phil Alden Robinson,126,51.43
2985,Tristan + Isolde,2006,6.8,"Acción, Drama, Romántica",48146,Kevin Reynolds,125,14.73
2986,Innerspace,1987,6.8,"Acción, Aventura, Comedia",48133,Joe Dante,120,25.89
2987,Night on Earth,1991,7.8,"Comedia, Drama",48129,Jim Jarmusch,129,2.02
2988,The World's Fastest Indian,2005,7.8,"Biografía, Drama, Deportes",48105,Roger Donaldson,127,5.13
2989,Stuck on You,2003,5.8,Comedia,48098,Bobby Farrelly,118,33.83
2990,The Eye,2008,5.4,"Drama, Horror, Misterio",48084,David Moreau,98,31.42
2991,The Gods Must Be Crazy,1980,7.3,Comedia,48051,Jamie Uys,109,30.03
2992,Vampire Academy,2014,5.5,"Acción, Comedia, Fantasía",48048,Mark Waters,104,7.79
2993,A Dog's Purpose,2017,7,"Aventura, Comedia, Drama",48007,Lasse Hallström,100,64.51
2994,Irrational Man,2015,6.6,"Comedia, Drama",48005,Woody Allen,95,4.03
2995,Wolf,1994,6.2,"Drama, Horror, Romántica",47996,Mike Nichols,125,65.01
2996,The Player,1992,7.6,"Comedia, Crimen, Drama",47941,Robert Altman,124,21.71
